system_id,dataset,z_lens,z_source,sigma_obs,sigma_obs_err,ra_deg,dec_deg,observation,subhalo_count
003753.21-094220.1,hst,0.1955,0.6322,279,14,9.47171,-9.70558,data/observations/hst/003753.21-094220.1.npz,
004402.90+011312.6,hst,0.1196,0.1965,266,13,11.01208,1.22017,data/observations/hst/004402.90+011312.6.npz,
040535.41-045552.4,hst,0.0753,0.8098,160,8,61.39754,-4.93122,data/observations/hst/040535.41-045552.4.npz,
091205.31+002901.2,hst,0.1642,0.3239,326,16,138.02212,0.48367,data/observations/hst/091205.31+002901.2.npz,
095900.96+441639.4,hst,0.2369,0.5315,244,19,149.754,44.27761,data/observations/hst/095900.96+441639.4.npz,
102922.94+042001.8,hst,0.1045,0.6154,210,11,157.34558,4.33383,data/observations/hst/102922.94+042001.8.npz,
110308.21+532228.2,hst,0.1582,0.7353,196,12,165.78421,53.3745,data/observations/hst/110308.21+532228.2.npz,
111250.60+082610.4,hst,0.273,0.6295,320,20,168.21083,8.43622,data/observations/hst/111250.60+082610.4.npz,
114257.35+100111.8,hst,0.2218,0.5039,221,22,175.73896,10.01994,data/observations/hst/114257.35+100111.8.npz,
115310.79+461205.3,hst,0.1797,0.8751,226,15,178.29496,46.20147,data/observations/hst/115310.79+461205.3.npz,
120444.07+035806.4,hst,0.1644,0.6307,267,17,181.18362,3.96844,data/observations/hst/120444.07+035806.4.npz,
120540.44+491029.4,hst,0.215,0.4808,281,14,181.4185,49.17483,data/observations/hst/120540.44+491029.4.npz,
121826.70+083050.3,hst,0.135,0.7172,219,11,184.61125,8.51397,data/observations/hst/121826.70+083050.3.npz,
125028.26+052349.1,hst,0.2318,0.7953,252,14,192.61775,5.39697,data/observations/hst/125028.26+052349.1.npz,
125050.52-013531.7,hst,0.0871,0.3526,246,12,192.7105,-1.59214,data/observations/hst/125050.52-013531.7.npz,
145128.19-023936.4,hst,0.1254,0.5203,223,14,222.86746,-2.66011,data/observations/hst/145128.19-023936.4.npz,
153150.07-010545.7,hst,0.1596,0.7439,279,14,232.95862,-1.09603,data/observations/hst/153150.07-010545.7.npz,
162746.45-005357.6,hst,0.2076,0.5241,290,15,246.94354,-0.89933,data/observations/hst/162746.45-005357.6.npz,
163602.62+470729.6,hst,0.2282,0.6745,231,15,249.01092,47.12489,data/observations/hst/163602.62+470729.6.npz,
234111.57+000018.7,hst,0.186,0.807,207,13,355.29821,0.00519,data/observations/hst/234111.57+000018.7.npz,
094656.68+100652.8,hst,0.2219,0.6085,263,21,146.73617,10.11467,data/observations/hst/094656.68+100652.8.npz,
