system_id,dataset,z_lens,z_source,sigma_obs,sigma_obs_err,ra_deg,dec_deg,observation,subhalo_count
002817.87-092934.3,sdss,0.0565,0.7146,147,7,7.07446,-9.49286,,
002907.77-005550.5,sdss,0.227,0.9313,229,18,7.28237,-0.93069,,
003753.21-094220.1,sdss,0.1955,0.6322,279,14,9.47171,-9.70558,data/observations/sdss/003753.21-094220.1.npz,
004402.90+011312.6,sdss,0.1196,0.1965,266,13,11.01208,1.22017,data/observations/sdss/004402.90+011312.6.npz,
010933.73+150032.5,sdss,0.2939,0.5248,251,19,17.39054,15.00903,,
021652.54-081345.3,sdss,0.3317,0.5235,333,23,34.21892,-8.22925,,
025245.21+003958.4,sdss,0.2803,0.9818,164,12,43.18837,0.66622,,
033012.14-002051.9,sdss,0.3507,1.0709,212,21,52.55058,-0.34775,,
035458.47-064842.8,sdss,0.1301,0.3808,160,8,58.74362,-6.81189,,
040535.41-045552.4,sdss,0.0753,0.8098,160,8,61.39754,-4.93122,data/observations/sdss/040535.41-045552.4.npz,
072804.95+383525.7,sdss,0.2058,0.6877,214,11,112.02062,38.59047,,
073728.45+321618.6,sdss,0.3223,0.5812,338,17,114.36854,32.27183,,
074251.84+345001.9,sdss,0.0853,0.739,165,10,115.716,34.83386,,
075834.68+303443.3,sdss,0.1156,0.5013,191,10,119.6445,30.57869,,
080240.82+450452.7,sdss,0.1423,0.4523,244,12,120.67008,45.08131,,
080358.21+453655.6,sdss,0.1313,0.2938,228,12,120.99254,45.61544,,
081931.93+453444.8,sdss,0.1943,0.4462,225,15,124.88304,45.57911,,
082242.32+265243.5,sdss,0.2414,0.5941,259,15,125.67633,26.87875,,
084128.81+382413.7,sdss,0.1159,0.6567,225,11,130.37004,38.40381,,
084706.89+031822.6,sdss,0.1192,0.4146,199,12,131.77871,3.30628,,
090319.52+313951.2,sdss,0.2711,0.5494,258,15,135.83133,31.66422,,
091205.31+002901.2,sdss,0.1642,0.3239,326,16,138.02212,0.48367,data/observations/sdss/091205.31+002901.2.npz,
091244.31+413637.0,sdss,0.0646,0.1377,218,11,138.18462,41.61028,,
093425.13+603423.5,sdss,0.1011,0.244,208,10,143.60471,60.57319,,
093543.93-000334.8,sdss,0.3475,0.467,396,35,143.93304,-0.05967,,
093600.77+091335.8,sdss,0.1897,0.588,243,12,144.00321,9.22661,,
094656.68+100652.8,sdss,0.2219,0.6085,263,21,146.73617,10.11467,data/observations/sdss/094656.68+100652.8.npz,
095320.42+520543.7,sdss,0.1315,0.4673,229,19,148.33508,52.09547,,
095519.72+010144.4,sdss,0.1109,0.3159,192,13,148.83217,1.029,,
095629.78+510006.6,sdss,0.2405,0.4699,334,17,149.12408,51.00183,,
095900.96+441639.4,sdss,0.2369,0.5315,244,19,149.754,44.27761,data/observations/sdss/095900.96+441639.4.npz,
095944.07+041017.0,sdss,0.126,0.535,197,13,149.93362,4.17139,,
101622.86+385903.3,sdss,0.1679,0.4394,247,13,154.09525,38.98425,,
102026.54+112241.1,sdss,0.2822,0.553,282,18,155.11058,11.37808,,
102332.26+423001.8,sdss,0.1912,0.696,242,15,155.88442,42.5005,,
102551.32-003517.5,sdss,0.1589,0.2764,264,13,156.46383,-0.58819,,
102922.94+042001.8,sdss,0.1045,0.6154,210,11,157.34558,4.33383,data/observations/sdss/102922.94+042001.8.npz,
102927.53+611505.3,sdss,0.1574,0.2512,228,14,157.36471,61.25147,,
