system_id,dataset,z_lens,z_source,sigma_obs,sigma_obs_err,ra_deg,dec_deg,observation,subhalo_count
A1,single_mock,0.2,0.6,232.2620730966049,13.610013386339647,0.0,0.0,data/observations/single_mock/A1.npz,
A2,single_mock,0.25,0.8,210.46961635270594,13.051979820392388,0.0,0.0,data/observations/single_mock/A2.npz,
A3,single_mock,0.3,1.0,211.03945220657027,12.293527793714288,0.0,0.0,data/observations/single_mock/A3.npz,
A4,single_mock,0.18,0.55,274.2494002446166,15.994084826469475,0.0,0.0,data/observations/single_mock/A4.npz,
A5,single_mock,0.22,0.7,269.2503404787448,15.797346534926962,0.0,0.0,data/observations/single_mock/A5.npz,
B1,single_mock,0.22,0.65,138.2484380058133,8.589195255952916,0.0,0.0,data/observations/single_mock/B1.npz,
B2,single_mock,0.28,0.9,180.25812894620742,10.999775938578306,0.0,0.0,data/observations/single_mock/B2.npz,
B3,single_mock,0.17,0.55,128.01936153393376,7.801859107465526,0.0,0.0,data/observations/single_mock/B3.npz,
C1,single_mock,0.25,0.8,235.00375580124657,13.668048908963371,0.0,0.0,data/observations/single_mock/C1.npz,
C2,single_mock,0.22,0.7,232.3557464330775,14.220198685793543,0.0,0.0,data/observations/single_mock/C2.npz,
C3,single_mock,0.18,0.55,251.85071004959738,14.740234994356928,0.0,0.0,data/observations/single_mock/C3.npz,
C4,single_mock,0.27,0.9,229.34685986619627,13.682120752361302,0.0,0.0,data/observations/single_mock/C4.npz,
D1,single_mock,0.2,0.65,234.98415711182798,14.081648528233577,0.0,0.0,data/observations/single_mock/D1.npz,
D2,single_mock,0.25,0.8,234.43258514334002,13.629777316059444,0.0,0.0,data/observations/single_mock/D2.npz,
D3,single_mock,0.22,0.7,239.19887979364336,13.908483472850742,0.0,0.0,data/observations/single_mock/D3.npz,
D4,single_mock,0.23,0.75,228.02275123980505,13.541997070017228,0.0,0.0,data/observations/single_mock/D4.npz,
D5,single_mock,0.21,0.65,250.16879384685114,14.790176994843412,0.0,0.0,data/observations/single_mock/D5.npz,
D6,single_mock,0.26,0.85,223.96490984264065,13.584649396258214,0.0,0.0,data/observations/single_mock/D6.npz,
D7,single_mock,0.24,0.78,234.09191470167661,13.717322067641145,0.0,0.0,data/observations/single_mock/D7.npz,
D8,single_mock,0.19,0.58,245.69669170502877,14.729438553940266,0.0,0.0,data/observations/single_mock/D8.npz,
